"","day","interval","popNo","temp","pop1","pop2","gen","n","size","surv","growth","carryingeggs","offspringproduced","clutchsize","sizeoff","clone","sexoff","sex","country","countryBin"
"1",7,3,"2",14,2,NA,"N1",12,1.9,1,0.203,0,NA,NA,NA,"2",NA,"f","N",0
"2",7,3,"2",14,2,NA,"N1",12,1.7,1,0.224,0,NA,NA,NA,"2",NA,"f","N",0
"3",7,3,"4",14,4,NA,"N2",10,1.65,1,0.151,0,NA,NA,NA,"4",NA,"f","N",0
"4",7,3,"4",14,4,NA,"N2",10,1.25,1,0.306,0,NA,NA,NA,"4",NA,"f","N",0
"5",7,3,"5",14,5,NA,"N2",13,1.6,1,0.156,0,NA,NA,NA,"5",NA,"f","N",0
"6",7,3,"5",14,5,NA,"N2",13,1.8,1,0.01,0,NA,NA,NA,"5",NA,"f","N",0
"7",7,3,"6",14,6,NA,"N2",12,1.8,1,0.191,0,NA,NA,NA,"6",NA,"f","N",0
"8",7,3,"6",14,6,NA,"N2",12,1.9,1,0.192,0,NA,NA,NA,"6",NA,"f","N",0
"9",7,3,"7",14,7,NA,"B1",18,1.59,1,0.169,0,NA,NA,NA,"7",NA,"f","B",1
"10",7,3,"7",14,7,NA,"B1",18,1.49,1,0.147,0,NA,NA,NA,"7",NA,"f","B",1
"11",7,3,"9",14,9,NA,"B1",11,1.49,1,0.147,0,NA,NA,NA,"9",NA,"f","B",1
"12",7,3,"9",14,9,NA,"B1",11,1.22,1,0.305,0,NA,NA,NA,"9",NA,"f","B",1
"13",7,3,"11",14,11,NA,"B2",12,1.76,1,0.113,0,NA,NA,NA,"11",NA,"f","B",1
"14",7,3,"11",14,11,NA,"B2",12,1.8,1,0.158,0,NA,NA,NA,"11",NA,"f","B",1
"15",7,3,"12",14,12,NA,"B2",14,1.83,1,0.158,0,NA,NA,NA,"12",NA,"f","B",1
"16",7,3,"12",14,12,NA,"B2",14,1.8,1,0.181,0,NA,NA,NA,"12",NA,"f","B",1
"17",7,3,"16",18,4,NA,"N2",12,1.83,1,0.181,0,NA,NA,NA,"4",NA,"f","N",0
"18",7,3,"16",18,4,NA,"N2",12,2,1,0.158,0,NA,NA,NA,"4",NA,"f","N",0
"19",7,3,"21",18,9,NA,"B1",13,2.14,1,0.169,0,NA,NA,NA,"9",NA,"f","B",1
"20",7,3,"21",18,9,NA,"B1",13,1.83,NA,NA,0,NA,NA,NA,"9",NA,"f","B",1
"21",7,3,"22",18,10,NA,"B2",12,2.44,1,0.181,0,NA,NA,NA,"10",NA,"f","B",1
"22",7,3,"22",18,10,NA,"B2",12,2.37,1,0.181,0,NA,NA,NA,"10",NA,"f","B",1
"23",7,3,"25",18,1,2,"N1",10,2.64,1,0,1,1,10,0.71,NA,"f","f","N",0
"24",7,3,"25",18,1,2,"N1",10,2.24,1,0.181,0,NA,NA,NA,NA,NA,"f","N",0
"25",7,3,"26",18,1,4,NA,13,2,1,0.158,0,NA,NA,NA,NA,NA,"f","N",0
"26",7,3,"26",18,1,4,NA,13,2,1,0.181,0,NA,NA,NA,NA,NA,"f","N",0
"27",7,3,"27",18,1,7,NA,12,1.56,1,0.35,0,NA,NA,NA,NA,NA,"f",NA,NA
"28",7,3,"27",18,1,7,NA,12,1.66,1,0.35,0,NA,NA,NA,NA,NA,"f",NA,NA
"29",7,3,"29",18,2,6,NA,16,2.58,1,0.169,1,0,NA,NA,NA,NA,"f","N",0
"30",7,3,"29",18,2,6,NA,16,2.2,1,0.169,0,NA,NA,NA,NA,NA,"f","N",0
"31",7,3,"30",18,2,9,NA,13,2.14,1,0.169,0,NA,NA,NA,NA,NA,"f",NA,NA
"32",7,3,"30",18,2,9,NA,13,1.69,1,0.339,0,NA,NA,NA,NA,NA,"f",NA,NA
"33",7,3,"31",18,2,12,NA,12,2.58,1,0.011,1,0,NA,NA,NA,NA,"f",NA,NA
"34",7,3,"31",18,2,12,NA,12,2.03,1,0.181,0,NA,NA,NA,NA,NA,"f",NA,NA
"35",7,3,"34",18,3,11,NA,13,2.34,1,0.158,0,NA,NA,NA,NA,NA,"f",NA,NA
"36",7,3,"34",18,3,11,NA,13,2.31,1,0.158,0,NA,NA,NA,NA,NA,"f",NA,NA
"37",7,3,"35",18,4,5,"N2",16,1.76,1,0.192,0,NA,NA,NA,NA,NA,"f","N",0
"38",7,3,"35",18,4,5,"N2",16,1.69,1,0.294,0,NA,NA,NA,NA,NA,"f","N",0
"39",7,3,"36",18,4,7,NA,13,1.49,1,0.395,0,NA,NA,NA,NA,NA,"f",NA,NA
"40",7,3,"36",18,4,7,NA,13,1.49,1,0.395,0,NA,NA,NA,NA,NA,"f",NA,NA
"41",7,3,"38",18,5,9,NA,12,1.59,0,NA,0,NA,NA,NA,NA,NA,"f",NA,NA
"42",7,3,"38",18,5,9,NA,12,1.69,1,0.339,0,NA,NA,NA,NA,NA,"f",NA,NA
"43",7,3,"39",18,5,12,NA,12,1.97,1,0.215,0,NA,NA,NA,NA,NA,"f",NA,NA
"44",7,3,"39",18,5,12,NA,12,1.83,1,0.203,0,NA,NA,NA,NA,NA,"f",NA,NA
"45",7,3,"41",18,6,11,NA,12,2.27,1,0.181,0,NA,NA,NA,NA,NA,"f",NA,NA
"46",7,3,"41",18,6,11,NA,12,2.31,1,0.181,0,NA,NA,NA,NA,NA,"f",NA,NA
"47",7,3,"42",18,7,8,"B1",13,2.14,1,0.158,0,NA,NA,NA,NA,NA,"f","B",1
"48",7,3,"42",18,7,8,"B1",13,2.14,1,0.192,0,NA,NA,NA,NA,NA,"f","B",1
"49",7,3,"44",18,8,12,NA,12,2.51,1,0.147,1,0,NA,NA,NA,NA,"f","B",1
"50",7,3,"44",18,8,12,NA,12,1.73,1,0.169,0,NA,NA,NA,NA,NA,"f","B",1
"51",7,3,"45",18,9,11,NA,15,2.34,1,0.158,0,NA,NA,NA,NA,NA,"f","B",1
"52",7,3,"45",18,9,11,NA,15,2.2,1,0.169,0,NA,NA,NA,NA,NA,"f","B",1
"53",7,3,"46",18,10,11,"B2",19,2.47,1,0.169,0,NA,NA,NA,NA,NA,"f","B",1
"54",7,3,"46",18,10,11,"B2",19,2.51,1,0.192,0,NA,NA,NA,NA,NA,"f","B",1
"55",7,3,"51",22,5,NA,"N2",13,1.97,1,0.102,0,NA,NA,NA,"5",NA,"f","N",0
"56",7,3,"51",22,5,NA,"N2",13,2.03,0,NA,0,NA,NA,NA,"5",NA,"f","N",0
"57",7,3,"52",22,6,NA,"N2",12,2.61,1,0.09,1,1,14,0.81,"6","f","f","N",0
"58",7,3,"52",22,6,NA,"N2",12,2.81,1,0.079,1,1,10,0.85,"6","f","f","N",0
"59",7,3,"53",22,7,NA,"B1",11,2,1,0.237,0,1,7,0.71,"7","f","f","B",1
"60",7,3,"53",22,7,NA,"B1",11,2,1,0.215,0,1,7,0.71,"7","f","f","B",1
"61",7,3,"55",22,9,NA,"B1",12,2.58,1,0.102,1,1,16,0.75,"9","f","f","B",1
"62",7,3,"55",22,9,NA,"B1",12,1.83,1,0.237,0,1,5,0.71,"9","f","f","B",1
"63",7,3,"59",22,1,3,"N1",15,2.68,1,0.079,1,1,9,0.81,NA,"f","f","N",0
"64",7,3,"59",22,1,3,"N1",15,2.47,1,0.147,1,1,9,1.25,NA,"f","f","N",0
"65",7,3,"62",22,1,11,NA,14,2.71,1,0.147,1,1,9,0.81,NA,"m","f",NA,NA
"66",7,3,"62",22,1,11,NA,14,2.61,1,0.079,1,1,6,0.78,NA,"m","f",NA,NA
"67",7,3,"64",22,2,7,NA,12,2.03,1,0.158,0,NA,NA,NA,NA,NA,"f",NA,NA
"68",7,3,"64",22,2,7,NA,12,2.1,1,0.136,0,NA,NA,NA,NA,NA,"f",NA,NA
"69",7,3,"66",22,3,6,NA,12,2.95,1,0.068,1,1,16,0.95,NA,"f","f","N",0
"70",7,3,"66",22,3,6,NA,12,2.31,1,0.158,1,1,7,1.19,NA,"f","f","N",0
"71",7,3,"69",22,4,6,"N2",11,2.37,1,0.136,1,1,4,0.85,NA,"f","f","N",0
"72",7,3,"69",22,4,6,"N2",11,2.75,1,0.09,1,1,14,0.85,NA,"f","f","N",0
"73",7,3,"72",22,5,7,NA,12,2.71,1,0.079,1,1,13,0.88,NA,"f","f",NA,NA
"74",7,3,"72",22,5,7,NA,12,2.24,1,0.124,1,1,6,0.88,NA,"f","f",NA,NA
"75",7,3,"73",22,5,10,NA,12,2.68,1,0.158,1,1,9,0.98,NA,"f","f",NA,NA
"76",7,3,"73",22,5,10,NA,12,2.41,1,0.113,1,1,7,0.75,NA,"f","f",NA,NA
"77",7,3,"77",22,7,11,NA,12,2.68,1,0.102,1,1,13,0.71,NA,"f","f","B",1
"78",7,3,"77",22,7,11,NA,12,2.54,1,0.09,1,1,11,0.71,NA,"f","f","B",1
"79",7,3,"79",22,9,12,NA,12,2.51,1,0.147,1,1,8,0.71,NA,"f","f","B",1
"80",7,3,"79",22,9,12,NA,12,2.71,1,0.113,1,1,8,1.02,NA,"f","f","B",1
"81",7,3,"80",22,10,12,"B2",12,2.68,1,0.102,1,1,11,0.75,NA,"f","f","B",1
"82",7,3,"80",22,10,12,"B2",12,2.54,1,0.102,1,1,9,0.75,NA,"f","f","B",1
"83",7,3,"81",26,1,NA,"N1",12,2.47,1,0.056,1,1,4,1.22,"1","f","f","N",0
"84",7,3,"81",26,1,NA,"N1",12,2.51,1,0.068,1,0,NA,NA,"1",NA,"f","N",0
"85",7,3,"82",26,2,NA,"N1",14,2.47,1,0.045,1,1,6,1.05,"2","f","f","N",0
